 3.11997045, -2.90173526,  1.96930249,  4.54240861, "two", 2
-1.57435045, -7.26495494, -8.80264206,  1.2935538, "zero", 0
-1.64194795, -9.23673524, -7.77776263,  1.32628348, "zero", 0
 8.25758526,  4.13331763,  9.56182086,  8.74862566, "one", 1
-1.29147914, -8.52668777, -8.24461063,  1.11871818, "zero", 0
-1.17826163, -8.06510247, -8.31893169,  0.96335399, "zero", 0
 7.65818838,  5.27931246,  8.76299008,  7.95779417, "one", 1
-2.41278516, -8.02236034, -8.14538754,  0.47619072, "zero", 0
-1.80617432, -8.98727078, -8.67644539,  1.07848257, "zero", 0
 2.39549843, -2.64982228,  2.09473751,  4.470409, "two", 2
-1.50440303, -8.24718246, -8.70672793,  0.99458187, "zero", 0
 8.23933106,  4.59658954,  9.52510495,  8.31426719, "one", 1
 1.83875975, -2.83855697,  1.87759009,  4.06344157, "two", 2
 7.802819  ,  4.71295544,  9.59140532,  8.57782366, "one", 1
 8.09383825,  4.72584615,  9.74925883,  7.69576093, "one", 1
 2.30889543, -2.48818431,  1.56816727,  4.13339452, "two", 2
 2.41729444, -2.84767154,  1.75727513,  4.73508077, "two", 2
 2.8106279 , -2.98048121,  2.19942256,  4.18044372, "two", 2
 7.58332595,  4.90942669,  9.41364754,  8.33251747, "one", 1
 8.05386616,  4.3211971 ,  9.06716346,  8.62123533, "one", 1
